State,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
Jammu & Kashmir,12073,12396,12726,13060,13395,13741,14092,14450,14815,15187,15566,15952,16345,16745,17152,17566,17987,18415,18850,19292,19741,20197,20660,21130,21607,22091
Ladakh,271,279,286,294,302,310,318,326,334,342,350,358,366,374,382,390,398,406,414,422,430,438,446,454,462,470
Himachal Pradesh,8412,8589,8799,8978,9164,9357,9548,9743,9940,10139,10340,10543,10748,10955,11164,11374,11586,11799,12014,12230,12447,12665,12884,13104,13324,13545
Punjab,36888,37744,38636,39521,40435,41358,42295,43248,44214,45194,46188,47196,48217,49252,50300,51361,52435,53522,54621,55732,56855,57989,59134,60290,61456,62632
Chandigarh,966,994,1024,1053,1088,1121,1156,1192,1229,1267,1306,1346,1387,1429,1472,1516,1561,1607,1654,1702,1751,1801,1852,1904,1957,2011
Uttaranchal,10932,11216,11482,11779,12065,12361,12663,12969,13281,13598,13921,14249,14583,14922,15267,15617,15973,16334,16701,17073,17451,17834,18222,18616,19015,19419
Haryana,27665,28453,29219,30015,30851,31686,32547,33426,34322,35238,36173,37127,38101,39094,40107,41140,42193,43267,44361,45476,46612,47769,48947,50147,51368,52611
Delhi,23678,24436,25178,25969,26735,27544,28367,29208,30072,30955,31860,32786,33734,34704,35697,36713,37752,38815,39902,41013,42149,43310,44496,45708,46946,48210
Rajasthan,67380,69156,70987,72825,74725,76653,78620,80627,82671,84755,86878,89041,91244,93487,95771,98095,100460,102866,105313,107801,110330,112900,115512,118165,120859,123594
Uttar Pradesh,192019,196652,201319,206088,210958,215888,220907,226005,231181,236438,241774,247189,252683,258255,263905,269632,275435,281313,287265,293290,299387,305554,311790,318093,324461,330892
Bihar,98383,101014,103711,106435,109274,112137,115067,118058,121105,124214,127383,130613,133905,137259,140676,144156,147699,151306,154977,158712,162512,166377,170307,174302,178362,182487
Sikkim,437,443,445,465,496,516,543,570,597,626,656,687,719,752,786,821,857,894,933,973,1014,1057,1101,1147,1194,1243
Arunachal Pradesh,991,1015,1035,1064,1087,1113,1139,1165,1192,1219,1247,1275,1304,1333,1363,1393,1424,1455,1487,1519,1552,1585,1619,1653,1688,1723
Nagaland,1684,1719,1768,1805,1854,1899,1945,1993,2041,2090,2140,2191,2243,2296,2350,2405,2461,2518,2576,2635,2695,2756,2818,2881,2945,3010
Manipur,1803,1844,1899,2022,2097,2195,2295,2394,2500,2608,2720,2836,2956,3080,3208,3340,3476,3617,3762,3912,4067,4227,4392,4562,4737,4918
Mizoram,1742,1783,1837,1919,1985,2059,2136,2213,2294,2377,2462,2550,2640,2733,2829,2928,3030,3135,3243,3354,3468,3585,3705,3829,3956,4087
Tripura,2454,2507,2574,2623,2715,2785,2863,2944,3024,3107,3192,3278,3366,3456,3548,3642,3738,3836,3936,4038,4142,4248,4356,4466,4578,4692
Meghalaya,2741,2808,2879,2943,3025,3099,3177,3257,3338,3421,3505,3591,3678,3767,3857,3949,4042,4137,4233,4331,4430,4531,4633,4737,4842,4949
Assam,36029,36948,37880,38834,39787,40769,41765,42778,43810,44859,45926,47011,48114,49235,50374,51531,52706,53899,55110,56339,57586,58850,60132,61431,62747,64080
West Bengal,103309,105814,108394,110972,113581,116254,118959,121710,124506,127344,130226,133151,136119,139130,142183,145278,148415,151593,154811,158069,161366,164702,168075,171485,174931,178412
Jharkhand,32150,33045,33961,34910,35860,36841,37841,38861,39904,40968,42054,43163,44294,45448,46625,47825,49049,50297,51569,52865,54186,55531,56901,58296,59716,61161
Orissa,48491,49604,50692,51829,52960,54114,55284,56467,57667,58881,60110,61353,62610,63881,65165,66462,67772,69094,70428,71773,73129,74495,75870,77254,78646,80045
Chhattisgarh,26443,27113,27828,28529,29253,29991,30740,31505,32283,33075,33882,34703,35538,36388,37252,38131,39024,39932,40854,41791,42742,43708,44688,45682,46691,47714
Madhya Pradesh,73957,75911,77888,79871,81901,83972,86079,88227,90415,92643,94911,97220,99570,101961,104393,106866,109380,111935,114532,117170,119849,122569,125330,128132,130974,133857
Gujarat,66069,67841,69660,71507,73382,75305,77262,79259,81296,83372,85489,87646,89844,92083,94363,96685,99049,101455,103903,106394,108927,111503,114122,116784,119489,122237
Daman,107,118,124,135,150,162,176,191,206,222,239,256,274,293,313,334,356,379,403,428,454,481,509,538,568,599
Dadra & Nagar Haveli,173,186,206,219,238,256,275,295,316,338,361,385,410,436,463,491,520,550,581,613,646,681,717,754,793,833
Maharashtra,110696,113374,116121,118906,121717,124593,127509,130473,133486,136545,139652,142806,146007,149255,152549,155889,159275,162706,166182,169702,173265,176871,180519,184208,187937,191705
Telangana,45335,46464,47620,48775,49983,51196,52434,53695,54976,56280,57605,58952,60321,61712,63125,64560,66017,67495,68995,70516,72058,73621,75205,76809,78434,80079
Andhra Pradesh,67370,68883,70424,71970,73536,75128,76738,78369,80021,81692,83383,85093,86822,88569,90334,92116,93915,95730,97560,99404,101262,103132,105014,106907,108809,110720
Karnataka,81729,83824,85968,88126,90349,92604,94902,97244,99627,102053,104522,107034,109589,112188,114830,117516,120245,123018,125834,128694,131597,134543,137532,140563,143636,146751
Goa,1543,1591,1618,1652,1700,1738,1781,1825,1869,1914,1960,2007,2055,2104,2154,2205,2257,2310,2364,2419,2475,2532,2590,2649,2709,2770
Lakshadweep,27,27,27,28,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Kerala,55145,56148,57155,58139,59143,60145,61148,62154,63159,64164,65168,66169,67167,68161,69149,70131,71105,72070,73025,73968,74898,75813,76712,77593,78454,79294
Tamil Nadu,84320,86596,88866,91184,93536,95943,98394,100892,103439,106034,108677,111369,114110,116901,119741,122631,125571,128561,131602,134693,137835,141027,144270,147563,150907,154301
Pondicherry,1469,1523,1577,1623,1679,1733,1789,1847,1906,1967,2030,2094,2160,2228,2298,2370,2444,2520,2598,2678,2760,2844,2930,3018,3108,3200
Andaman & Nicobar Islands,351,357,366,380,393,406,420,434,449,464,480,496,513,530,548,566,585,604,624,644,665,686,708,730,753,777
Total,1325232,1358415,1392179,1426447,1461427,1496998,1533198,1570036,1607501,1645602,1684339,1723711,1763720,1804365,1845645,1887559,1930105,1973280,2017080,2061501,2106538,2152185,2198436,2245283,2292718,2340731
